collection,name,size,design,dyeing_method,construction,backing,product_type,wood_species,colour,fire_rating,usages,composition
"Allure Fabrics",3090478,10699,Floral,,,,,,,,Curtain,"59% LIN, 41% COTON, BRODERIE VISCOSE"
Acappella,AZ52938,10690.5,Fabric/Silks,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Acappella,AZ52949,10608.1,Fabric/Silks,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Acappella,AZ52937,10549.3,Fabric/Silks,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Brushstrokes,Y47064,10522,Abstract,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
"Allure Fabrics",3090363,10509,Floral,,,,,,,,Curtain,"59% LIN, 41% COTON, BRODERIE VISCOSE"
"Safari Sun",Y47148,10427,Grass/Bamboos,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Amp'd,AZ52823,10385.76,Abstract,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Rainbows,raa310,10354.119999999999,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
"Carnet De Voyage Fabrics",8010145,10341.6,"Check / Plaid",,,,,,,,Upholstery,"67% acrylique, 22% polyester, 11% viscose"
"Plains one + 1",131949,10306.11,Plain,,,,,,,,"Curtain, Upholstery","70%Viscose & 30%Linen"
Brushstrokes,Y47058,10243,Abstract,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
"Armstrong Natural Creations",CW008,10229.66,Oak,,,,"Vinyl Flooring",Oak,"Mountain Grey",,,
Shalimar,sha3400,10166,,,,Non-woven,Textile,,,"ASTM E84 Class A",,
"Allure Fabrics",30450366,10030.5,Stripes,,,,,,,,Curtain,"65% LIN, 35% POLYESTER"
Cobra,ca42,9957.44,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
Brushstrokes,Y47065,9953.75,Abstract,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Nashira,nai5605,9920.2,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
Cobra,ca22,9915.82,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
Rainbows,raa311,9848.119999999999,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
"Allure Fabrics",30440569,9827.6,Geometric,,,,,,,,Curtain,"78% VISCOSE, 22% POLYESTER"
Rainbows,raa409,9810.4,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
Cobra,ca12,9778.84,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
Shalimar,sha4206,9692.54,,,,Non-woven,Textile,,,"ASTM E84 Class A",,
Amp'd,AZ52820,9684.96,Abstract,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Rainbows,raa413,9664.050000000001,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
"Armstrong Natural Creations",TP039,9659.4,Oak,,,,"Vinyl Flooring",Oak,"Roan Oak Charcoal",,,
Acappella,AZ52952,9638,Fabric/Silks,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Cobra,ca11,9549.000000000002,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
Tomoko,132088,9494.67,Textured,,,,,,,,"Curtain, Upholstery","92%Polyester & 8% Cotton"
Tomoko,132065,9490,Textured,,,,,,,,"Curtain, Upholstery","56%Viscose, 25%Polyester & 19% Cotton"
Shalimar,sha1300,9298.5,,,,Non-woven,Textile,,,"ASTM E84 Class A",,
Shalimar,sha5105,9282.25,,,,Non-woven,Textile,,,"ASTM E84 Class A",,
Safari,Y47168,9272,Grass/Bamboos,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Chimes,AZ52998,9175.32,Plains,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Tomoko,132060,9174,Geometric,,,,,,,,"Curtain, Upholstery","56%Viscose, 25%Polyester & 19% Cotton"
Jungle,jua403,9082,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
Tomoko,132071,8972.5,"Herringbone / Chevron / Houndstooth",,,,,,,,"Curtain, Upholstery","57%Viscose, 24%Polyester & 19% Cotton"
Rainbows,raa408,8939.5,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
"Plains Five",NPLS131187,8936.1,"Abstract / Random",,,,,,,,Curtain,"55% Polyester 45% Cotton"
Nashira,nai2805,8909.5,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
"Armstrong Natural Creations",CW004,8868.5,Walnut,,,,"Vinyl Flooring",Walnut,"Exotic Walnut",,,
"Safari Sun",Y47149,8839.4,Grass/Bamboos,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Remix,AZ52827,8807.7,Abstract,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
"Carnet De Voyage Fabrics",8410367,8749,Embroidery,,,,,,,,Curtain,"100% Polyester, Viscose embroidery"
"Carnet De Voyage Fabrics",8000599,8741,"Abstract / Random",,,,,,,,Upholstery,"100% coton"
Safari,Y47163,8629,Grass/Bamboos,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Davenport,DAV-7579,8592.5,"Animal Skins",,,,,,,,Upholstery,"GSA Certified. Top Grain Leather"
"Carnet De Voyage Fabrics",8370241,8578.9,Stripes,,,,,,,,Curtain,"60% Cotton, 40% Polyester, viscose embroidery"
"Blooms Cotton Blend",34922653,8557,"Abstract / Random",,,,,,,,"Curtain, Upholstery","60% COTON 40% POLYESTER"
Remix,AZ52831,8361,Abstract,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Rainbows,raa318,8324.2,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
Rainbows,raa316,8090.5,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
Nashira,nai6803,8085.2,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
"Allure Fabrics",30410213,8076.5,Floral,,,,,,,,Curtain,"55% LIN, 45% COTON"
Tomoko,132070,8010,"Herringbone / Chevron / Houndstooth",,,,,,,,"Curtain, Upholstery","57%Viscose, 24%Polyester & 19% Cotton"
Shalimar,sha1121,8002.610000000001,,,,Non-woven,Textile,,,"ASTM E84 Class A",,
Acappella,AZ52939,7983.85,Fabric/Silks,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Davenport,DAV-7298,7868.5,"Animal Skins",,,,,,,,Upholstery,"GSA Certified. Top Grain Leather"
Rainbows,raa313,7797,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
"Plains Five",NPLS131175,7572,"Abstract / Random",,,,,,,,Curtain,"55% Polyester 45% Cotton"
Shalimar,sha2306,7540,,,,Non-woven,Textile,,,"ASTM E84 Class A",,
"Mixology Designs",34830451,7516.96,Geometric,,,,,,,,Upholstery,"37% LINEN, 33% POLYESTER, 30% POLYAMIDE"
"Plains one + 1",131940,7434.75,Plain,,,,,,,,"Curtain, Upholstery","70%Viscose & 30%Linen"
"Plains Five",NPLS131192,7399,"Abstract / Random",,,,,,,,Curtain,"55% Polyester 45% Cotton"
Acappella,AZ52947,7390.32,Fabric/Silks,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
"Blooms Cotton Blend",34920613,7358.469999999999,"Abstract / Random",,,,,,,,"Curtain, Upholstery","60% COTON 40% POLYESTER"
Shalimar,sha2405,7325.3,,,,Non-woven,Textile,,,"ASTM E84 Class A",,
"Carnet De Voyage Fabrics",8360268,7323.5,"Check / Plaid",,,,,,,,Curtain,"60% Linen, 25% Cotton, 15% Polyester"
"Allure Fabrics",30450155,7281,Stripes,,,,,,,,Curtain,"65% LIN, 35% POLYESTER"
