collection,name,size,design,dyeing_method,construction,backing,product_type,wood_species,colour,fire_rating,usages,composition
"Armstrong Natural Creations",TP038,1318040.78,Oak,,,,"Vinyl Flooring",Walnut,"Roan Oak Driftwood Gray",,,
Jungle,jua107,972002.2500000001,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
"Armstrong Simpurity",K822-101,561533.8500000001,Biege,,,,"Vinyl Flooring",Biege,"Light Coir",,,
Chimes,AZ52984,554372.3,Plains,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Broadway,"BW01 CHARCOAL",506268.81000000006,Organic,"Yarn Dyed","Multi Level Loop",PVC,,,,,,
Esta,"ES05 ASH",464154.31,Geometric,"Yarn Dyed","Multi Level Loop & Tip Shear","PVC Free",,,,,,
Shalimar,sha6122,406677,,,,Non-woven,Textile,,,"ASTM E84 Class A",,
"geff Laminate",GGLF006,385380.86999999994,Teak,,,,"Laminate Flooring",Teak,"Sawn Teak",,,
Broadway,"BW05 LAGOON",377910.1399999998,Organic,"Yarn Dyed","Multi Level Loop",PVC,,,,,,
Esta,"ES06 MOCHA",343027.8999999999,Geometric,"Yarn Dyed","Multi Level Loop & Tip Shear","PVC Free",,,,,,
Remix,AZ52829,340075.30000000005,Abstract,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
"City Star","CS01 RED",299280.89999999997,Stripes,"Solution Dyed","Multi Level Loop","PVC Free",,,,,,
"Color Cube","CC09 GRASS",297031.9599999996,Solid,"Solution Dyed","Twisted Cut Pile",PVC,,,,,,
"City Glaze","CG02 CANE",279252.73,Geometric,"Solution Dyed","Multi Level Loop",PVC,,,,,,
Leedon,"LN05 GREY",274027.8899999999,Geometric,"Solution Dyed","Multi Level Loop",PVC,,,,,,
"Armstrong Medintech Plus",K811-524,270451.8299999999,Green,,,,"Vinyl Flooring",Green,Moss,,,
Safari,Y47162,231409.2,Grass/Bamboos,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Cobra,ca62,230851.57,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
"Armstrong Medintech Plus",K811-212,212844.36999999994,Champagne,,,,"Vinyl Flooring",Champagne,"Carthamus Champagne",,,
"Color Cube","CC07 OLIVE",201327.88999999998,Solid,"Solution Dyed","Twisted Cut Pile",PVC,,,,,,
Tomoko,132068,192286.22999999998,"Herringbone / Chevron / Houndstooth",,,,,,,,"Curtain, Upholstery","57%Viscose, 24%Polyester & 19% Cotton"
"Armstrong Natural Creations",CW018,188621.64,Walnut,,,,"Vinyl Flooring",Walnut,"Sparrow Walnut",,,
Cobra,ca64,188291.98,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
Esta,"ES09 BLACK",187447.98000000016,Geometric,"Yarn Dyed","Multi Level Loop & Tip Shear","PVC Free",,,,,,
"Plains one + 1",131951,182194.11,Plain,,,,,,,,"Curtain, Upholstery","70%Viscose & 30%Linen"
Vera,"VR04 BLUE",181480.19,Organic,"Solution Dyed","Multi Level Loop",PVC,,,,,,
Cobra,ca55,179683.09000000003,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
Chimes,AZ52988,177862.41,Plains,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
"Plains one + 1",131943,176817,Plain,,,,,,,,"Curtain, Upholstery","70%Viscose & 30%Linen"
Brushstrokes,Y47053,172982.65,Abstract,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Cobra,ca52,158978.15,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
Cobra,ca23,148572.58000000002,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
"Color Cube","CC01 CHARCOAL",147392.48,Solid,"Solution Dyed","Twisted Cut Pile",PVC,,,,,,
"Color Cube","CC04 WOOD",146746.08999999997,Solid,"Solution Dyed","Twisted Cut Pile",PVC,,,,,,
Nashira,nai5614,143827.72,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
Chimes,AZ52985,136704.34999999998,Plains,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Jungle,jua105,129717.25000000001,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
"Color Cube","CC02 GRANITE",128796.02000000003,Solid,"Solution Dyed","Twisted Cut Pile",PVC,,,,,,
Jungle,jua313,127169.5,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
"Allure Fabrics",30400666,127061.88999999998,Embroidery,,,,,,,,Curtain,"70% Viscose - 30 % Linen - Viscose Embroidery"
Vera,"VR02 GREY",126834,Organic,"Solution Dyed","Multi Level Loop",PVC,,,,,,
Chimes,AZ52992,121964.76000000001,Plains,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Chimes,AZ52977,119629.55,Plains,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Remix,AZ52825,117144.8,Abstract,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
"NOX Vinyl",GD-5120,114949.35,Oak,,,,"Vinyl Flooring",Oak,"European Oak Golden",,,
Milano,"Milano Hunter",113234.12,,,,,,,,,Upholstery,"100% Leather"
Jungle,jua224,113005.8,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
"Color Cube","CC06 BEIGE",111654.34999999999,Solid,"Solution Dyed","Twisted Cut Pile",PVC,,,,,,
Shalimar,sha6215,110282.5,,,,Non-woven,Textile,,,"ASTM E84 Class A",,
Leedon,"LN06 CHOCOLATE",109971.87999999999,Geometric,"Solution Dyed","Multi Level Loop",PVC,,,,,,
"geff Laminate",GGLF002,109584.79,Walnut,,,,"Laminate Flooring",Walnut,"Sawn Walnut",,,
"Fraser II","FR4806 RUSTIC BROWN",106778.4,Stripes,"Space Dyed","Multi Level Loop",PVC,,,,,,
Soprano,"SO05 WATERFALL",100543.10000000002,Stripes,"Solution Dyed","Multi Level Loop",PVC,,,,,,
Soprano,"SO06 ORCHID",98437.26,Stripes,"Solution Dyed","Multi Level Loop",PVC,,,,,,
Jungle,jua106,98016.89,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
Milano,"Milano Fig",97264.54,,,,,,,,,Upholstery,"100% Leather"
"City Glaze","CG04 ROCKY",92356.69000000002,Geometric,"Solution Dyed","Multi Level Loop",PVC,,,,,,
Meteor,Y47085,90828.1,Stones,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Chimes,AZ52980,89603.5,Plains,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Remix,AZ52835,88410,Abstract,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
"Safari Sun",Y47147,86725.17000000001,Grass/Bamboos,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Uncork,AZ52856,86324.6,Grass/Bamboos,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
"Color Cube","CC05 BROWN",83872.31999999998,Solid,"Solution Dyed","Twisted Cut Pile",PVC,,,,,,
Soprano,"SO02 ROCKY",83134.51000000001,Stripes,"Solution Dyed","Multi Level Loop",PVC,,,,,,
"Carnet De Voyage Fabrics",8410125,82891,Embroidery,,,,,,,,Curtain,"100% Polyester, Viscose embroidery"
"NOX Vinyl",GD-5405,82821.23999999999,Maple,,,,"Vinyl Flooring",Maple,"Maple Natural",,,
Acappella,AZ52940,81421.91,Fabric/Silks,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Shalimar,sha7001,79984.02000000002,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
Uncork,AZ52854,79525.7,Grass/Bamboos,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Vera,"VR03 CHOCOLATE",78517.72,Organic,"Solution Dyed","Multi Level Loop",PVC,,,,,,
Uncork,AZ52849,77479.54000000001,Grass/Bamboos,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Leedon,"LN03 STONE",76787.6,Geometric,"Solution Dyed","Multi Level Loop",PVC,,,,,,
Esta,"ES03 FOG",76457.96,Geometric,"Yarn Dyed","Multi Level Loop & Tip Shear","PVC Free",,,,,,
Cobra,ca46,75829.5,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
"Blooms Cotton Blend",34921531,75037,"Abstract / Random",,,,,,,,"Curtain, Upholstery","60% COTON 40% POLYESTER"
NULL,GD-6431,73295.29000000005,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Plains one + 1",131953,71677.16000000002,Plain,,,,,,,,"Curtain, Upholstery","70%Viscose & 30%Linen"
Jungle,jua324,70358.59999999999,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
Sanshin,AZ52796,69118.21,Grass/Bamboos,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
"Blooms Cotton Blend",34920817,68553.51000000001,"Abstract / Random",,,,,,,,"Curtain, Upholstery","60% COTON 40% POLYESTER"
Oxide,Y47001,68431.1,Abstract,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Chimes,AZ52993,68239.96,Plains,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Cobra,ca41,67441.39,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
Remix,AZ52826,66866,Abstract,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Jungle,jua211,66791,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
Rainbows,raa301,66732,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
Acappella,AZ52944,66155.4,Fabric/Silks,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Remix,AZ52842,65408.64000000001,Abstract,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Cobra,ca61,65159.12,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
Safari,Y47169,62575.35,Grass/Bamboos,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
"NOX Vinyl",GD-5121,61343.31,Oak,,,,"Vinyl Flooring",Oak,"European Oak Brown ",,,
Chimes,AZ52989,61331.469999999994,Plains,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Cobra,ca15,60997.46,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
"City Star","CS04 ORANGE",60939.46,Stripes,"Solution Dyed","Multi Level Loop","PVC Free",,,,,,
"City Glaze","CG05 DUSKY",60328.01000000001,Geometric,"Solution Dyed","Multi Level Loop",PVC,,,,,,
Remix,AZ52834,59287.5,Abstract,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
"Fraser II","FR4804 PISTACHIO",59221.399999999994,Stripes,"Space Dyed","Multi Level Loop",PVC,,,,,,
"Color Cube","CC08 CHERRY",59183.55000000001,Solid,"Solution Dyed","Twisted Cut Pile",PVC,,,,,,
Nashira,nai5610,59073.520000000004,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
Chimes,AZ52995,59053.60999999999,Plains,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
"Fraser II","FR4802 URBAN GREY",59012.54000000001,Stripes,"Space Dyed","Multi Level Loop",PVC,,,,,,
Safari,Y47167,58981,Grass/Bamboos,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Uncork,AZ52848,58617.94,Grass/Bamboos,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Jungle,jua233,58060.259999999995,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
Shalimar,sha3609,57405,,,,Non-woven,Textile,,,"ASTM E84 Class A",,
Nashira,nai2802,54493,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
Cabana,"CB01 STONE",53814.02,Geometric,"Solution Dyed","Level Loop",PVC,,,,,,
Chimes,AZ52982,53364.95,Plains,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Marble,Y46983,52634.75,Stones,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Jungle,jua334,52014.969999999994,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
Jungle,jua225,51758.82,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
Nashira,nai2801,51420.3,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
Jungle,jua101,51407.24000000001,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
"Color Cube","CC03 GREY",51260.57000000001,Solid,"Solution Dyed","Twisted Cut Pile",PVC,,,,,,
"City Star","CS05 PURPLE",50977.5,Stripes,"Solution Dyed","Multi Level Loop","PVC Free",,,,,,
Amp'd,AZ52815,50866.549999999996,Abstract,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
"Allure Fabrics",3080489,50827.399999999994,Embroidery,,,,,,,,Curtain,"100% LIN, BRODERIE VISCOSE"
Cobra,ca33,50226.00000000001,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
Chimes,AZ52975,49947.85,Plains,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Cobra,ca54,49409.399999999994,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
"Fraser II","FR2303 FOREST",49224.420000000006,Stripes,"Space Dyed","Multi Level Loop",PVC,,,,,,
Cobra,ca66,49111.98,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
"Fraser II","FR4801 COSMO BLUE",48555.72000000001,Stripes,"Space Dyed","Multi Level Loop",PVC,,,,,,
"Armstrong Medintech Plus",K811-002,48304.7,Grey,,,,"Vinyl Flooring",Grey,"Silver Grey",,,
"Plains one + 1",131942,44471.45,Plain,,,,,,,,"Curtain, Upholstery","70%Viscose & 30%Linen"
Broadway,"BW03 CEMENT",44055.14,Organic,"Yarn Dyed","Multi Level Loop",PVC,,,,,,
Esta,"ES08 ATLANTIC",43762.64000000001,Geometric,"Yarn Dyed","Multi Level Loop & Tip Shear","PVC Free",,,,,,
Shalimar,sha5418,43741.2,,,,Non-woven,Textile,,,"ASTM E84 Class A",,
Milano,"Milano Garnet",43630.4,,,,,,,,,Upholstery,"100% Leather"
Jungle,jua333,42578.25,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
Brushstrokes,Y47051,42560.5,Abstract,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Soprano,"SO07 HERITAGE",42292.87,Stripes,"Solution Dyed","Multi Level Loop",PVC,,,,,,
"Armstrong Medintech Plus",K811-003,41932.54,Grey,,,,"Vinyl Flooring",Grey,Smoke,,,
Chimes,AZ52987,41664.799999999996,Plains,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Nashira,nai5609,41633.9,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
Cobra,ca57,40802.95,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
Jungle,jua406,40267.700000000004,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
Milano,"Milano Bisque",40198,,,,,,,,,Upholstery,"100% Leather"
"Plains Five",NPLS131168,39811.65000000001,"Abstract / Random",,,,,,,,Curtain,"55% Polyester 45% Cotton"
Davenport,DAV-8787,39616.68,"Animal Skins",,,,,,,,Upholstery,"GSA Certified. Top Grain Leather"
Jungle,jua328,39551,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
Broadway,"BW08 RUBY",39514.97,Organic,"Yarn Dyed","Multi Level Loop",PVC,,,,,,
Nashira,nai1066,39388.6,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
Jungle,jua411,39055.78999999999,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
Acappella,AZ52943,38880.44,Fabric/Silks,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Rainbows,raa403,38225.2,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
Sanshin,AZ52795,37411.74,Grass/Bamboos,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
"Plains one + 1",131950,37408.75,Plain,,,,,,,,"Curtain, Upholstery","70%Viscose & 30%Linen"
"City Star","CS02 LIME",37319.51,Stripes,"Solution Dyed","Multi Level Loop","PVC Free",,,,,,
Brushstrokes,Y47061,37003.439999999995,Abstract,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Broadway,"BW02 CHOCOLATE",36499.82000000001,Organic,"Yarn Dyed","Multi Level Loop",PVC,,,,,,
"City Star","CS03 BLUE",36113.46,Stripes,"Solution Dyed","Multi Level Loop","PVC Free",,,,,,
Esta,"ES01 CANE",35922.399999999994,Geometric,"Yarn Dyed","Multi Level Loop & Tip Shear","PVC Free",,,,,,
Davenport,DAV-1112,35640,"Animal Skins",,,,,,,,Upholstery,"GSA Certified. Top Grain Leather"
Sanshin,AZ52811,35344.05,Grass/Bamboos,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Uncork,AZ52857,34985.7,Grass/Bamboos,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Rainbows,raa103,34791.3,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
Uncork,AZ52847,34577.8,Grass/Bamboos,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Remix,AZ52832,34136.799999999996,Abstract,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Davenport,DAV-8779,34084.3,"Animal Skins",,,,,,,,Upholstery,"GSA Certified. Top Grain Leather"
"geff Laminate",GGLF008,34068.69,Oak,,,,"Laminate Flooring",Oak,"Grey Dudsk",,,
"Jailhouse Rock",AZ53040,33497.6,Abstract,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Nashira,nai1022,33080.35,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
Jungle,jua102,33060,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
Milano,"Milano Carmel",32982,,,,,,,,,Upholstery,"100% Leather"
Cabana,"CB04 SEA SQUIRT",32795.979999999996,Geometric,"Solution Dyed","Level Loop",PVC,,,,,,
"Blooms Cotton Blend",34921837,32697.72,"Abstract / Random",,,,,,,,"Curtain, Upholstery","60% COTON 40% POLYESTER"
Rainbows,raa309,32430,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
Nashira,nai1044,32385.72,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
"Jailhouse Rock",AZ53038,32274.95,Abstract,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Shalimar,sha4100,32203.8,,,,Non-woven,Textile,,,"ASTM E84 Class A",,
"Fraser II","FR2304 CAMEL",31618.820000000003,Stripes,"Space Dyed","Multi Level Loop",PVC,,,,,,
Shalimar,sha7520,31404,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
Davenport,DAV-9206,31242,"Animal Skins",,,,,,,,Upholstery,"GSA Certified. Top Grain Leather"
Nashira,nai1055,31218.8,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
Brushstrokes,Y47055,30932,Abstract,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Jungle,jua314,30902.9,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
Sanshin,AZ52812,30850,Grass/Bamboos,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Davenport,DAV-8546,30796,"Animal Skins",,,,,,,,Upholstery,"GSA Certified. Top Grain Leather"
Remix,AZ52839,30748,Abstract,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Uncork,AZ52845,30314,Grass/Bamboos,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Meteor,Y47091,30289.100000000002,Stones,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Jungle,jua315,30250.199999999997,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
Chimes,AZ52979,30148.98,Plains,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Brushstrokes,Y47063,29848,Abstract,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Oxide,Y46992,29605,Abstract,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Sanshin,AZ52809,29521.5,Grass/Bamboos,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Meteor,Y47083,29364.7,Stones,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Tomoko,132076,29326.579999999998,Textured,,,,,,,,"Curtain, Upholstery","92%Polyester & 8% Cotton"
Vera,"VR01 GRANITE",29323.82,Organic,"Solution Dyed","Multi Level Loop",PVC,,,,,,
"Armstrong Simpurity",K822-001,29285.010000000002,Grey,,,,"Vinyl Flooring",Grey,"Gently Grey",,,
"geff Laminate",GGLF007,29263.4,Oak,,,,"Laminate Flooring",Oak,"Ash Oak",,,
Jungle,jua311,29200.7,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
Safari,Y47172,28668.55,Grass/Bamboos,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
"Plains Five",NPLS131155,28512.5,"Abstract / Random",,,,,,,,Curtain,"55% Polyester 45% Cotton"
Amp'd,AZ52816,28286.75,Abstract,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Uncork,AZ52851,28232.800000000003,Grass/Bamboos,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Jungle,jua312,27931.56,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
Shalimar,sha2100,27638,,,,Non-woven,Textile,,,"ASTM E84 Class A",,
"Fraser II","FR4805 SPECTRUM RED",27518.05,Stripes,"Space Dyed","Multi Level Loop",PVC,,,,,,
Rainbows,raa302,27464.79,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
Sanshin,AZ52793,27369.22,Grass/Bamboos,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Cobra,ca13,27303.96,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
"Plains Five",NPLS131186,27148.3,"Abstract / Random",,,,,,,,Curtain,"55% Polyester 45% Cotton"
Oxide,Y46999,27105.4,Abstract,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Cabana,"CB02 SANDY",26891.249999999996,Geometric,"Solution Dyed","Level Loop",PVC,,,,,,
Cobra,ca32,26776.589999999997,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
Rainbows,raa414,26768.200000000004,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
Brushstrokes,Y47060,26687.22,Abstract,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Marble,Y46988,26513.650000000005,Stones,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Marble,Y46987,26414.5,Stones,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Nashira,nai6802,26226.9,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
"NOX Vinyl",NCP-6710,26194.90999999999,Maple,,,,"Vinyl Flooring",Oak,"Western Oak Grey",,,
Shalimar,sha6405,26168.15,,,,Non-woven,Textile,,,"ASTM E84 Class A",,
Acappella,AZ52957,25837.050000000003,Fabric/Silks,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Safari,Y47171,25802.25,Grass/Bamboos,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
"Blooms Cotton Blend",34921633,25536.68,"Abstract / Random",,,,,,,,"Curtain, Upholstery","60% COTON 40% POLYESTER"
Sanshin,AZ52813,25527.350000000002,Grass/Bamboos,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
"Armstrong Simpurity",K822-002,25410.89,Grey,,,,"Vinyl Flooring",Grey,"Plow Rock",,,
Shalimar,sha7002,25318.100000000002,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
Tomoko,132083,25075.38,Textured,,,,,,,,"Curtain, Upholstery","92%Polyester & 8% Cotton"
"City Glaze","CG03 NATURAL",24788.41,Geometric,"Solution Dyed","Multi Level Loop",PVC,,,,,,
Sanshin,AZ52802,24707.4,Grass/Bamboos,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Brushstrokes,Y47054,24654.4,Abstract,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Oxide,Y46991,24585.1,Abstract,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Shalimar,sha6307,24523.3,,,,Non-woven,Textile,,,"ASTM E84 Class A",,
Acappella,AZ52950,24457.849999999995,Fabric/Silks,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Chimes,AZ52996,24370.6,Plains,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Meteor,Y47086,24282.5,Stones,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
"Plains one + 1",131939,24192.3,Plain,,,,,,,,"Curtain, Upholstery","70%Viscose & 30%Linen"
Jungle,jua327,24120,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
Chimes,AZ52994,24081.6,Plains,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Brushstrokes,Y47062,24064,Abstract,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Rainbows,raa307,23994.6,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
"geff Laminate",GGLF005,23927.35,Oak,,,,"Laminate Flooring",Oak,"Tea Mix",,,
Meteor,Y47088,23572.489999999998,Stones,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Uncork,AZ52850,23547.32,Grass/Bamboos,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Cobra,ca63,23532.43,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
Nashira,nai1033,23427,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
"geff Laminate",GGLF001,23418,Oak,,,,"Laminate Flooring",Oak,"White Ice",,,
Davenport,DAV-8774,23053.199999999997,"Animal Skins",,,,,,,,Upholstery,"GSA Certified. Top Grain Leather"
Jungle,jua322,22844.699999999997,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
Safari,Y47165,22539,Grass/Bamboos,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Jungle,jua232,22432.52,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
"Fraser II","FR2302 SILVERFISH",22407.22,Stripes,"Space Dyed","Multi Level Loop",PVC,,,,,,
Uncork,AZ52846,22393.57,Grass/Bamboos,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Uncork,AZ52855,22389.7,Grass/Bamboos,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Rainbows,raa203,22379.55,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
Sanshin,AZ52797,22323.15,Grass/Bamboos,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
"Jailhouse Rock",AZ53039,22268.3,Abstract,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Leedon,"LN01 IVORY",22202.96,Geometric,"Solution Dyed","Multi Level Loop",PVC,,,,,,
Oxide,Y46998,22167.6,Abstract,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Shalimar,sha6621,22133.850000000002,,,,Non-woven,Textile,,,"ASTM E84 Class A",,
Nashira,nai1011,22070.3,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
"Fraser II","FR2301 SOIL",21977.24,Stripes,"Space Dyed","Multi Level Loop",PVC,,,,,,
"Armstrong Medintech Plus",K811-004,21782.5,Grey,,,,"Vinyl Flooring",Grey,Rock,,,
Safari,Y47170,21715,Grass/Bamboos,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Davenport,DAV-7574,21671,"Animal Skins",,,,,,,,Upholstery,"GSA Certified. Top Grain Leather"
Marble,Y46980,21507.8,Stones,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Brushstrokes,Y47050,21505.5,Abstract,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Shalimar,sha6502,21429.8,,,,Non-woven,Textile,,,"ASTM E84 Class A",,
Nashira,nai5602,21424.600000000002,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
Jungle,jua332,21394.539999999997,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
Brushstrokes,Y47066,21339.799999999996,Abstract,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Uncork,AZ52853,21319.8,Grass/Bamboos,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
