collection,name,size,design,dyeing_method,construction,backing,product_type,wood_species,colour,fire_rating,usages,composition,Product
Marble,Y46985,15449.47,Stones,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Acappella,AZ52958,15406.5,Fabric/Silks,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Uncork,AZ52852,15372.85,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Sanshin,AZ52806,15309.48,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Oxide,Y46994,15307.53,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Sanshin,AZ52799,15300.2,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Broadway,BW07 VANILLA,15128.98,Organic,Yarn Dyed,Multi Level Loop,PVC,,,,,,,Carpet
Rainbows,raa201,15120.92,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Rainbows,raa405,15015.7,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Shalimar,sha6719,15015,,,,Non-woven,Textile,,,ASTM E84 Class A,,,Wallcovering
Tomoko,132062,15005.2,Geometric,,,,,,,,"Curtain, Upholstery","56%Viscose, 25%Polyester & 19% Cotton",Fabric
Acappella,AZ52956,15004.6,Fabric/Silks,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Oxide,Y47000,14972.4,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Acappella,AZ52951,14969,Fabric/Silks,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Chimes,AZ52991,14948.8,Plains,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Tomoko,132064,14942.5,Textured,,,,,,,,"Curtain, Upholstery","56%Viscose, 25%Polyester & 19% Cotton",Fabric
Rainbows,raa101,14939.95,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Meteor,Y47082,14856.75,Stones,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Nashira,nai4603,14821.9,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Brushstrokes,Y47052,14720,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Cobra,ca56,14713,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Meteor,Y47089,14686.5,Stones,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Nashira,nai5601,14608.2,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Remix,AZ52840,14585,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Nashira,nai6805,14579.2,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Davenport,DAV-7800,14562.02,Animal Skins,,,,,,,,Upholstery,GSA Certified. Top Grain Leather,Fabric
Chimes,AZ52997,14560,Plains,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Acappella,AZ52948,14502,Fabric/Silks,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Acappella,AZ52953,14418.1,Fabric/Silks,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Meteor,Y47090,14348.2,Stones,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Shalimar,sha5221,14257.6,,,,Non-woven,Textile,,,ASTM E84 Class A,,,Wallcovering
Allure Fabrics,3090299,14247,Floral,,,,,,,,Curtain,"59% LIN, 41% COTON, BRODERIE VISCOSE",Fabric
Davenport,DAV-4536,14225,Animal Skins,,,,,,,,Upholstery,GSA Certified. Top Grain Leather,Fabric
Acappella,AZ52942,14201.6,Fabric/Silks,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Sanshin,AZ52803,14107.2,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Davenport,DAV-8979,13927,Animal Skins,,,,,,,,Upholstery,GSA Certified. Top Grain Leather,Fabric
Plains Five,NPLS131177,13845.95,Abstract / Random,,,,,,,,Curtain,55% Polyester 45% Cotton,Fabric
Brushstrokes,Y47057,13695,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Allure Fabrics,30400444,13617.8,Embroidery,,,,,,,,Curtain,70% Viscose - 30 % Linen - Viscose Embroidery,Fabric
Nashira,nai6804,13607,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Sanshin,AZ52794,13567,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Shalimar,sha3105,13533.2,,,,Non-woven,Textile,,,ASTM E84 Class A,,,Wallcovering
Amp'd,AZ52819,13523.95,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Chimes,AZ52983,13515,Plains,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Davenport,DAV-9202,13494,Animal Skins,,,,,,,,Upholstery,GSA Certified. Top Grain Leather,Fabric
Safari Sun,Y47145,13492.55,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Sanshin,AZ52798,13479.4,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Safari,Y47156,13477.45,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Safari,Y47161,13397,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Cabana,CB03 MUD GREEN,13389.45,Geometric,Solution Dyed,Level Loop,PVC,,,,,,,Carpet
Jailhouse Rock,AZ53041,13202.4,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Carnet De Voyage Fabrics,8390411,13153,Check / Plaid,,,,,,,,Curtain,"55% Cotton, 45% Linen",Fabric
Nashira,nai3801,13023.65,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Davenport,DAV-9201,12974.2,Animal Skins,,,,,,,,Upholstery,GSA Certified. Top Grain Leather,Fabric
Meteor,Y47081,12929.45,Stones,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Nashira,nai5611,12900.4,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Amp'd,AZ52817,12869.15,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Remix,AZ52833,12868.09,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Jungle,jua321,12867.8,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Allure Fabrics,30430231,12774,Embroidery,,,,,,,,Curtain,"70% VISCOSE, 30% LIN",Fabric
Jungle,jua402,12767.88,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Jungle,jua103,12767.4,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Meteor,Y47084,12691.31,Stones,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Carnet De Voyage Fabrics,8380263,12657,Stripes,,,,,,,,Curtain,70% VISCOSE- 30% LINEN VISCOSE EMBROIDERY,Fabric
Oxide,Y46997,12564,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Oxide,Y46995,12522,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Chimes,AZ52981,12506.96,Plains,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Safari,Y47166,12493.3,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Rainbows,raa202,12446.24,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Plains Five,NPLS131180,12320.5,Abstract / Random,,,,,,,,Curtain,55% Polyester 45% Cotton,Fabric
Shalimar,sha2221,12307,,,,Non-woven,Textile,,,ASTM E84 Class A,,,Wallcovering
Rainbows,raa304,12245.75,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Rainbows,raa315,12176,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Tomoko,132087,12126.4,Textured,,,,,,,,"Curtain, Upholstery",92%Polyester & 8% Cotton,Fabric
Cobra,ca21,12041.8,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Nashira,nai5613,12009.7,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Davenport,DAV-7582,12008,Animal Skins,,,,,,,,Upholstery,GSA Certified. Top Grain Leather,Fabric
Plains Five,NPLS131162,11991,Abstract / Random,,,,,,,,Curtain,55% Polyester 45% Cotton,Fabric
Chimes,AZ52986,11989.3,Plains,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Sanshin,AZ52810,11945.9,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Nashira,nai5608,11923.2,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Jailhouse Rock,AZ53035,11911.48,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Cobra,ca53,11799.08,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Jungle,jua417,11707.1,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Cobra,ca65,11702.33,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Safari,Y47155,11679.2,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Cobra,ca31,11639.2,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Jungle,jua323,11636.2,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Rainbows,raa410,11596.97,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Acappella,AZ52941,11549.3,Fabric/Silks,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Shalimar,sha3306,11539.05,,,,Non-woven,Textile,,,ASTM E84 Class A,,,Wallcovering
Rainbows,raa305,11444.3,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Nashira,nai5607,11425.52,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Cobra,ca51,11361.2,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Acappella,AZ52955,11323.65,Fabric/Silks,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Shalimar,sha4422,11228.5,,,,Non-woven,Textile,,,ASTM E84 Class A,,,Wallcovering
Nashira,nai5604,11079.9,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Armstrong Medintech Plus,K811-533,11064.83,Blue,,,,Vinyl Flooring,Blue,Turquoise,,,,Flooring
Safari,Y47159,11046.45,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Allure Fabrics,30420534,10975.5,Stripes,,,,,,,,Curtain,100% LIN,Fabric
Jungle,jua415,10974.9,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Nashira,nai5603,10729.7,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Allure Fabrics,3090478,10699,Floral,,,,,,,,Curtain,"59% LIN, 41% COTON, BRODERIE VISCOSE",Fabric
Acappella,AZ52938,10690.5,Fabric/Silks,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Acappella,AZ52949,10608.1,Fabric/Silks,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Acappella,AZ52937,10549.3,Fabric/Silks,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Brushstrokes,Y47064,10522,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Allure Fabrics,3090363,10509,Floral,,,,,,,,Curtain,"59% LIN, 41% COTON, BRODERIE VISCOSE",Fabric
Safari Sun,Y47148,10427,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Amp'd,AZ52823,10385.76,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Rainbows,raa310,10354.12,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Carnet De Voyage Fabrics,8010145,10341.6,Check / Plaid,,,,,,,,Upholstery,"67% acrylique, 22% polyester, 11% viscose",Fabric
Plains one + 1,131949,10306.11,Plain,,,,,,,,"Curtain, Upholstery",70%Viscose & 30%Linen,Fabric
Brushstrokes,Y47058,10243,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Armstrong Natural Creations,CW008,10229.66,Oak,,,,Vinyl Flooring,Oak,Mountain Grey,,,,Flooring
Shalimar,sha3400,10166,,,,Non-woven,Textile,,,ASTM E84 Class A,,,Wallcovering
Allure Fabrics,30450366,10030.5,Stripes,,,,,,,,Curtain,"65% LIN, 35% POLYESTER",Fabric
Cobra,ca42,9957.44,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Brushstrokes,Y47065,9953.75,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Nashira,nai5605,9920.2,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Cobra,ca22,9915.82,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Rainbows,raa311,9848.12,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Allure Fabrics,30440569,9827.6,Geometric,,,,,,,,Curtain,"78% VISCOSE, 22% POLYESTER",Fabric
Rainbows,raa409,9810.4,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Cobra,ca12,9778.84,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Shalimar,sha4206,9692.54,,,,Non-woven,Textile,,,ASTM E84 Class A,,,Wallcovering
Amp'd,AZ52820,9684.96,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Rainbows,raa413,9664.05,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Armstrong Natural Creations,TP039,9659.4,Oak,,,,Vinyl Flooring,Oak,Roan Oak Charcoal,,,,Flooring
Acappella,AZ52952,9638,Fabric/Silks,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Cobra,ca11,9549,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Tomoko,132088,9494.67,Textured,,,,,,,,"Curtain, Upholstery",92%Polyester & 8% Cotton,Fabric
Tomoko,132065,9490,Textured,,,,,,,,"Curtain, Upholstery","56%Viscose, 25%Polyester & 19% Cotton",Fabric
Shalimar,sha1300,9298.5,,,,Non-woven,Textile,,,ASTM E84 Class A,,,Wallcovering
Shalimar,sha5105,9282.25,,,,Non-woven,Textile,,,ASTM E84 Class A,,,Wallcovering
Safari,Y47168,9272,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Chimes,AZ52998,9175.32,Plains,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Tomoko,132060,9174,Geometric,,,,,,,,"Curtain, Upholstery","56%Viscose, 25%Polyester & 19% Cotton",Fabric
Jungle,jua403,9082,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Tomoko,132071,8972.5,Herringbone / Chevron / Houndstooth,,,,,,,,"Curtain, Upholstery","57%Viscose, 24%Polyester & 19% Cotton",Fabric
Rainbows,raa408,8939.5,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Plains Five,NPLS131187,8936.1,Abstract / Random,,,,,,,,Curtain,55% Polyester 45% Cotton,Fabric
Nashira,nai2805,8909.5,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Armstrong Natural Creations,CW004,8868.5,Walnut,,,,Vinyl Flooring,Walnut,Exotic Walnut,,,,Flooring
Safari Sun,Y47149,8839.4,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Remix,AZ52827,8807.7,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Carnet De Voyage Fabrics,8410367,8749,Embroidery,,,,,,,,Curtain,"100% Polyester, Viscose embroidery",Fabric
Carnet De Voyage Fabrics,8000599,8741,Abstract / Random,,,,,,,,Upholstery,100% coton,Fabric
