collection,name,size,design,dyeing_method,construction,backing,product_type,wood_species,colour,fire_rating,usages,composition,Product
geff Laminate,GGLF003,2973.53,Merbau,,,,Laminate Flooring,Merbau,Natural Merbau,,,,Flooring
Plains Five,NPLS131193,2917.5,Abstract / Random,,,,,,,,Curtain,55% Polyester 45% Cotton,Fabric
Mixology Designs,34810123,2862,Abstract / Random,,,,,,,,Curtain,"60% COTTON, 40% POLYESTER, VISCOSE EMBROIDERY",Fabric
Mixology Designs,34820331,2830.5,Abstract / Random,,,,,,,,Curtain,"60% COTTON, 40% POLYESTER, VISCOSE EMBROIDERY",Fabric
Mixology Designs,33800419,2807.7,Check / Plaid,,,,,,,,Curtain,"64% COTTON, 36% POLYESTER",Fabric
Carnet De Voyage Fabrics,8370593,2725.5,Stripes,,,,,,,,Curtain,"60% Cotton, 40% Polyester, viscose embroidery",Fabric
Mixology Designs,34830349,2679.8,Geometric,,,,,,,,Upholstery,"37% LINEN, 33% POLYESTER, 30% POLYAMIDE",Fabric
Carnet De Voyage Fabrics,8000122,2669.7,Abstract / Random,,,,,,,,Upholstery,100% coton,Fabric
Carnet De Voyage Fabrics,8010463,2580.1,Check / Plaid,,,,,,,,Upholstery,"67% acrylique, 22% polyester, 11% viscose",Fabric
Carnet De Voyage Fabrics,8390365,2396.81,Check / Plaid,,,,,,,,Curtain,"55% Cotton, 45% Linen",Fabric
Blooms Cotton Blend,34920715,2329,Abstract / Random,,,,,,,,"Curtain, Upholstery",60% COTON 40% POLYESTER,Fabric
Carnet De Voyage Fabrics,8370315,2268,Stripes,,,,,,,,Curtain,"60% Cotton, 40% Polyester, viscose embroidery",Fabric
Carnet De Voyage Fabrics,8360140,2220.9,Check / Plaid,,,,,,,,Curtain,"60% Linen, 25% Cotton, 15% Polyester",Fabric
Blooms Cotton Blend,34922041,2125,Abstract / Random,,,,,,,,"Curtain, Upholstery",60% COTON 40% POLYESTER,Fabric
Blooms Cotton Blend,34922449,1860.1,Abstract / Random,,,,,,,,"Curtain, Upholstery",60% COTON 40% POLYESTER,Fabric
