Hotel,Stars,Rooms,Website,Telephone,Manager
City Backpackers,3,,http://www.citybackpackers.com.sg,,
Classique Hotel,3,,http://www.classiquehotel.com.sg,63923838,Mr.Ivan Ong
COO,3,,,,
Coziee Lodge,3,,http://cozieelodge.com/,,
CUBE @ smith street,3,,,,
Deluxe Hotel,3,,,,
Eighteen by Three Cabins,3,,http://www.18by3.com,,
Holiday Inn Express Singapore Clarke Quay,3,,,,
Hotel Ascendere,3,,,68411211,Mr Raymond Ong
Travellers Loft @ Lavender,3,,http://www.travellersloft.com.sg,,
Value Hotel - Nice,3,,http://www.valuehotel.com.sg,,
Venue Hotel,3,,http://www.venuehotel.sg,,
New Society Backpacker,3,,,,
"Oasia Hotel Novena, Singapore",3,,http://www.stayfareast.com,,
Parc Sovereign Hotel,3,,http://www.parcsovereign.com,,
Park Avenue Rochester,3,,http://www.ueparkavenueintl.com.sg,,
Pinnacle Hotel,3,,,,
Plush Pods,3,,http://www.plush-pods.com,,
Punggol Ranch,3,,http://www.punggolranch.com,,
Regin Hotel,3,,http://www.reginhotel.com,,
Royal India Hotel,3,,http://www.royalindiahotel.com,,
Rucksack Inn@Lavender,3,,http://www.rucksackinn.com,,
Santa Grand Hotel Little India,3,,http://www.santagrandhotels.com,,
Simpang De Bedok Boarding House,3,,,,
Summer View Hotel,3,,http://www.summerviewhotel.com.sg,,
Taipei Hotel (2000),3,,,,
The Duxton,3,,http://www.garchahotels.com,,
The Hive,3,,http://www.thehivesg.com,,
The Pod,3,,http://www.thepod.sg,,
Park View Hotel,3,,http://www.parkview.com.sg,,
Furama City Centre Singapore,3,,http://www.furama.com/citycentre/,,
Gay World Hotel,3,,,67458884,
Golden Dragon Hotel,3,,,,
Golden Royal Hotel,3,,http://www.goldenroyal-hotel.com,,
Golden Star Hotel,3,,,,
Grand Imperial Hotel,3,,,,
Hangout @ Mt. Emily,3,,http://www.hangouthotels.com,,
Harbour Ville Hotel,3,,http://www.harbourvillehotel.com,62712771,
